,Country,Currency,Average_Cost,Average_Hotel_1p,Average_Hotel_double,Average_Food_Cost,Average_Transport_Cost,Average_Entertainment_Cost,Average_Tip_Cost,Average_Scam_Cost,Average_Alcohol_Cost,Average_Water_Cost,Description
157,Papua New Guinea,PGK,644,245,489,69,583,21,NA,NA,24,NA, Papua New Guinea On a Budget Papua New Guinea An island nation of the Melanesia region of Oceana Papua New Guinea is best known for its incredible natural beauty The flora and fauna of the place thrive with color and life while untouched coral reefs and WWII wrecks make for great diving destinations While the cultural festivals and developed locations attract tourists the more rugged opportunities for hiking surfing and scuba diving call to the adventurous explorers At a GlancePapua New Guinea can be divided into 9 different regions Southern Papua New Guinea is home to the nation s capital city of Port Moresby which has Zoological gardens the Parliament building and general Melanesian atmosphere In this region you can also find the historic 60 mile Kokoda Trail which can take about 5 days to hike Madang Morobe is another of the nation s regions with great opportunities for diving and seeing the flights of bats in the evening The Highlands region is made up of many fertile valleys and mountains dotted with tribal cultures while Southwestern Papua New Guinea lies just to the south of this with its main city being Daru on the Gulf of Papua Sepik is another region where Vanimo serves as a great surfing location and gateway to Indonesia and Wewak further east has some unique culture and marks the mouth of the Sepik River Mine Bay makes up a more remote province of Papua New Guinea s southeastern tip with vibrant reefs and villages just as beautiful while New Britain New Ireland and Manus and Bougainville make up the rest of the islands with many opportunities to dive for reefs marine life and WWII wrecks All around the waters surrounding Papua New Guinea are ideal for diving The aquatic life is thriving nearly everywhere with countless reefs blooming with life and color Also due to the nation s history WWII wrecks are just as abundant now serving as underwater homes for the ocean critters Surfing is a common activity especially at Vanimo along the northern coast as is trekking amongst the mountain trails and the historic Kokoda Track With over 700 species of birds birdwatching is another well enjoyed activity with many birds of paradise inhabiting the area and there are also many festivals and cultural performances to be seen throughout Papua New Guinea Flight seeing by airplane is also a great way to experience the scenery from above RelatedLooking for a party Find a hostel in Sydney Melbourne Cairns or along the Gold Coast Top Tourist Attractions Papua New Guinea and its surrounding islands are most known for their striking natural scenery mountains and rainforests sweeping down to fertile valleys and out to the sea with colorful reefs and aquatic life to be found below the waters Volcanoes hot springs streams rivers and cultural villages are amongst some of the other features worth exploring Top destinations include Kokoda Trail a 60 mile trail beginning in the Port Moresby area up into the Owen Stanley Range passing through many streams and mountain ridges Historically it was frequented by gold miners in the 1890s and later gained significance during WWII when the Japanese tried to reach the port by way of the trail Mount Wilhelm The highest mountain in Papua New Guinea Mount Wilhelm can be climbed to the peak for views of both the north and south coasts of the island The Wahgi River also in this area is considered one of the best whitewater rafting destinations in the world Madang Home to a thriving community renowned for its traditional artists and surrounded by world class diving opportunities Underwater sights include coral reefs and colorful fish as well as wrecks of Japanese fighter planes with weapons and cargo intact Nearby Madang there are also active volcanoes that are popular with trekkers New Britain All around a place with many things to do and see There are great spots for swimming and snorkeling many trails for scenic hikes through the rainforest and hot thermal springs and bubbling mud holes to enjoy The culture on the island is also something to see the Baining people renowned for creating beautiful performances like their ceremonial fire dance Another amazing activity is to head to the tribal areas of PNG or to West Papua part of Indonesia Consider visiting one of these areas such as the Dani Tribe in West Papua Popular Foods The staple foods in Papua New Guinea are rice sago and kau kau sweet potato which are generally prepared with seafood chicken pork other game and a large variety of greens Most dishes are devoid of spices and are traditionally cooked in an underground oven called a Mumu Local gastronomy is largely influenced by European Chinese and Indonesian cuisine and is rich in fish vegetables and fruit like passion fruits pawpaw and pineapples Some common dishes and ingredients include Chicken pot chicken that has been simmered with mixed vegetables and coconut cream Mumu Pork is roasted in a traditional earth oven and is served with sweet potatoes rice and vegetables Kokoda Fish Fish that has been cooked with a lime coconut sauce Kaukau Baked sweet potato Sago The substance gathered from a sago palm is the starch used for making bread and puddings Dia Sago and bananas cooked with coconut cream 
158,Philippines,PHP,2641,952,1904,605,791,639,91,68,406,65, The Philippines On a Budget The Philippines The Philippines is an island nation in Southeast Asia and it includes over 7 000 islands It has a beautiful coastline and friendly people and because of Spanish colonization is considered to be Asia s largest Catholic country The country is quite diverse with over one hundred different ethnic groups a large international influence and a Spanish Latin twist It makes for a very interesting take on Asian culture combined with a beautiful tropical destination It has some great opportunities for scuba diving wildlife spotting and festival viewing There are also countless opportunities to enjoy adventure sports while you re in the country Whatever your interest the Philippines likely has an activity or attraction that appeals to you The climate in the Philippines is tropical and the hottest months are between March and May In June the rains start and this lasts through October when strong typhoons are possible The coolest months are between November and February Probably the best time to visit is between the middle of January and the end of February when the weather is at its coolest and the area is dry Whenever you decide to visit the Philippines you can expect sudden weather changes As an island nation the weather can be highly unpredictable so come prepared for anything The Philippines are divided into three major island groups Luzon is the northernmost part of the country and is the economic and political center It s also where you will find the country s capital city of Manila The country s best beaches are on the middle islands known as Visayas This is the area with the richest biodiversity and the best wildlife To the south is the Mindanao This is where you find most of the indigenous culture in the Philippines The Philippines is a cheap travel destination even by Southeast Asian standards Some hotels may be more expensive than you would expect but as a whole it is a very affordable travel destination You may decide to take some domestic flights to explore the area These are reasonably priced but there are often more affordable alternatives if you do some research Food in the Philippines is very cheap particularly if you dine at local establishments Street food is always an affordable option as well At A GlanceIf you re interested in Filipino culture and history head to the Banaue area There are rice terraces that have existed for over 2000 years It s a very scenic area that has been designated as a UNESCO World Heritage Site and shouldn t be missed if you re in the area Because the Philippines is made of the many different islands you ll likely find yourself taking several different flights while you re in the country compare prices here Some of the most popular and affordable airlines include Philippine Airlines Cebu Pacific and Airphil Express Flights are usually reasonable in price but do increase around major holidays or during peak travel times Most flights are economy class only If you decide to take a trip on the Bicol Express Train you can decide between four different classes These include the executive sleeper class which has private air conditioned cabins with one bed the family sleeper class which includes four beds in an air conditioned cabin the deluxe class which offers reclining chairs in air conditioned cabins and the economy class which includes benches and fans for ventilation There are ferries that connect many of the islands While this is a cheap form of transportation it is also somewhat unsafe Use commonsense when you board a ferry If the boat seems to be over capacity do not get on it Also make sure you check the weather reports prior to taking a ferry as some captains sail even in rough waters Generally speaking ferries are not safer than flying Don t overlook the historic sights while you re in the Philippines The natural beauty is perhaps the most impressive part of the country but there are still some excellent museums and cultural areas that are well worth a visit RelatedPartying in Chiang Mai or other parts of Thailand Going to the Full Moon Party in Koh Phangan Hitting the beach in Koh Samui Top Tourist Attractions Tamaraw Falls This is a popular thirty meter high waterfall with nearby swimming pools It s about 14 kilometers from Puerto Galera and is a crowded destination on weekends particularly on Sundays when admission is free If you re there during the week the crowds will be much less Bring a packed picnic lunch and there are facilities where you can enjoy your meal while looking out over the waterfall Hundred Islands National Park Hundred Islands National Park is a small but lovely national park just off the Alaminos coast It is made up of over one hundred islands but only three of them have been developed for tourists Pagudpud Pagudpud is probably one of the most popular tourist beaches in the Philippines It has a beautiful white sand beach and blue water perfect for swimming It s relatively secluded but still conveniently located and is accessible by public transportation Popular Foods Filipino food is heavily influenced by many different cultures including Chinese Malay Spanish European and American cuisines It s probably the least spicy cuisine in all of Southeast Asia but it still has a strong flavor as it is typically seasoned with garlic onions and ginger Many of the dishes cook for long periods of time so the flavors are well integrated Some examples are listed below but for more details check out this guide to Filipino food on our blog Sinangag This is a fried garlic rice dish made with dried shrimp and mixed with sausage or hot dogs It s ubiquitous around the Philippines and it s one of the most popular dishes in restaurants around the country Chicharron These are salted and deep fried pork rinds They re available at many balut vendors and are often served with vinegar chillis or a liver sauce Another variation of the dish is made with deep fried pig intestines Hamonado This is a honey cured meat dish that is served on special occasions It s most often made with pork and honey or pineapple juice is used to sweeten it It s most commonly served during the Christmas or New Years holidays and is a favorite around the country 
159,Pakistan,PKR,9835,5603,11205,2900,1697,1127,NA,NA,966,NA, Pakistan On a Budget Lahore Pakistan Located in South Central Asia along the Arabian Sea Pakistan is a large country characterized by a varied landscape and as the historic home to the ancient Indus Valley Civilization which is among the oldest in the world It is bordered by Iran Afghanistan China and India on the west north and east with the Arabian Sea on its southern boundary At a Glance Pakistan is divided into eight distinct regions Azad Kashmir Balochistan Federally Administered Tribal Areas Gilgit Baltistan Islamabad Capital Territory Khyber Pakhtunkhwa Punjab and Sindh Azad Kashmir and Gilgit Baltistan are both Pakistani controlled parts of the former princely state of Jammu and Kashmir Both are located in a highly disputed territory and are self governing They are however home to some of the most beautiful scenery especially Gilgit Baltistan which features some of the world s highest mountain ranges the Karakoram the Himalaya and the Hindu Kush These mountain landscapes make the region particularly attractive to mountaineers trekkers and tourists Balochistan is the largest and most remote region with Quetta as the main stopping point for travelers passing through while the Federally Administered Tribal Areas is mostly off limits to foreigners as authorities have little control over the area Visitors should also be careful if visiting Khyber Pakhtunkhwa formerly known as the North West Frontier Province A safer place to visit is Islamabad Capital Territory which encompasses the capital city Islamabad the Margalla Hills and the ancient ruins of Taxila Punjab is also well frequented the most populous and agriculturally fertile region in the country and home to many historical shrines and mosques And finally there is Sindh where most people flock to the city of Karachi or the ancient ruins of Moenjodaro With a vast range of landscapes from deserts mountains and beaches to both ancient and modern cities Pakistan has a variety of activities to match It is a world class destination for trekking and hiking while opportunities for horseback riding and cycling are a big draw as well In the more populated areas visitors can also explore historic monuments to their heart s content or shop in a massive range of markets and bazaars Read more Is it safe for women to travel in Pakistan Check out this terrific advice from a blogger who traveled all around the country Top Tourist Attractions Natural Scenery With so many different landscapes Pakistan is a treasure trove for stunning scenery While the mountain peaks and glaciers offer incredible views and trekking opportunities There are also a number of valleys just as beautiful Hunza Valley for example is supposedly the setting for James Hilton s Shangri La and the valley lives up to that reputation Other unique spots for natural scenery include the Thar desert in Sindh and the Cholistan desert in the Punjab as well as many beautiful beaches located between Karachi and Gwadar along Makran coastal highway Historical Sites Due to its ancient history Pakistan is also home to many important historic locations Some of the most famous include the archaeological sites of Taxila Moenjodaro Thatta and Harappa some of which are also UNESCO World Heritage Sites Cultural Landmarks Many visitors are also drawn to Pakistan s important cultural sites some of which include of the Badshahi Mosque in Lahore and the Shah Faisal Masjid Mosque in Islamabad A strict dress code must be adhered to when entering the Badshahi Mosque while the Faisal Mosque with its white minarets can only be viewed by visitors from the outside The Lahore Fort is also very popular a massive structure and UNESCO site where the Mughals built their imperial quarters followed by the Sikhs It also houses a museum dedicated to the Sikh period of the 18th century Popular Foods Cuisine of Pakistan largely revolves around kebabs served with rice or flatbreads Kebabs are cooked meat dishes that can vary with different kinds of beef lamb and chicken all seasoned with herbs and spices There are also a variety of flatbreads usually referred to as naan which are commonly used to pick up and eat liquid foods as utensils are not commonly used during meals in Pakistan Other popular Pakistani specialties include a whole roasted chicken called charga a seasoned chicken and rice dish called biryani a spicy barbequed chicken called chicken tikka a thick stew like mix of meat lentils and wheat grains called haleem and a thick gravy made from local spices and either chicken or beef called nihari A vegetarian soup called daal is also common as are black and green teas Flavored with cardamom and a lot of sugar tea is referred to as chai in Pakistan TransportationA visit to Pakistan requires a visa for most nationalities Some can be obtained on arrival however to be safe it is best to apply for a visa in advance By air Karachi Lahore and Islamabad are the main gateways into Pakistan Jinnah International Airport in Karachi is served by many international airlines including Air Arabia Air China Biman Bangladesh Airlines Cathy Pacific Etihad Emirates Flydubai GMG Airlines Gulf Qatar Airways Saudi Arabian Airlines SriLankan Airlines Iran Air Iraqi Airways Malaysia Airlines Oman Air Thai Airways and Turkish Airlines Allama Iqbal International Airport in Lahore also operates a large number of airlines as does Benazir Bhutto International Airport which serves the cities of Islamabad and Rawalpindi in the province of Punjab There are also train links from Pakistan to India and Iran as well as roadways like the Grand Trunk Road and the Silk Road which are widely used for traveling long distance 
160,Poland,PLN,262,158,315,61,21,42,286,408,29,312, Poland On a Budget Wroclaw Poland Poland is a large country in Eastern Europe that borders the Baltic Sea It is known for its beautiful countryside and brutal history which culminates during World War II But despite this turbulent history Poland is a wonderful place to visit for its culture history castles and museums Furthermore it also has some surprisingly nice landscapes and wonderful rural areas In the countryside you ll find organic farms unspoiled landscape and quaint villages that offer a glimpse back in time The two most visited cities in the country are Krakow and Warsaw While Krakow is perhaps the more interesting Warsaw has a lovely old town some great parks and nice architecture that are well worth the trip Poland remains a more affordable travel destination than many European countries but even so prices have been on the rise in recent years If you re hoping to keep your costs down it is best to travel outside of the peak season find discount hotel rates and cater your own meals whenever possible Business hotels and mid range hotels can be reasonably priced Hostels are abundant in Poland s main cities if you re the type of traveler that would enjoy the experience Hotels are often more affordable on weekends when business travelers are less frequent Business oriented hotels are often much nicer than many of the other comparable options in the city Traditional food options are generally reasonably priced but can be touristy in the old town areas If you eat outside of the old town you ll miss some of the country s wonderful atmosphere but save yourself a few dollars It s up to you to determine what your priorities are and exactly what your budget allows See the Food section below for more details about the types of food in Poland Transportation in Poland is relatively easy to navigate buses are often cheaper than trains but trains are more enjoyable and comfortable Usually your best bet is to travel by train between major cities and by bus if you re visiting a smaller town that is less popular with travelers At A GlanceIf you happen to be in Poland on a religious holiday particularly Catholic holidays it will be difficult to find places that are open These holidays are strongly observed and most shopping areas restaurants and stores will be closed or at a minimum have significantly reduced hours Like elsewhere in Europe you will find some good discount airlines that fly into the country If you re short on time or happen to find a particularly good deal this can be a great way to reach the country There are many affordable ways to make your way into Poland It is well connected by bus and train lines to nearby countries Many of the towns throughout the country hold weekly traditional markets These are similar to farmers markets that you will find in other parts of the world You can pick up all kinds of local produce meats or cheeses They re also a great place to get a feel for the town and its general atmosphere Check out a milk bar which is a very cheap dining option They were created by the communist regime as a way to get cheap food to the masses but today they have become more difficult to find If you do manage to find one you ll have a very unique experience that will let you interact with all types of people RelatedTraveling alone to Prague or Budapest Looking for a party and need a hostel in Prague or Budapest Find a Contiki tour to Europe Top Tourist Attractions Krakow Often referred to as Poland s cultural capital Krakow has a beautiful old town impressive architecture and countless museums and events It s probably the most visited city in Poland attracting tourists from all over the world at any time of year Bialowieza National Park Near the border with Belarus this national park has some of the last primeval forest in Europe It is also a World Heritage Site You can explore some areas of the park on your own but for many protected areas it is required that you take a guided tour There is also a hotel and restaurant within the park for your convenience Malbork Castle Built in 1406 in northern Poland this is one of the most stunning castles in the country It is build in the style of medieval fortresses and is the largest fortress in the world when measured by surface area It is also the largest brick building in all of Europe Popular Foods Traditional Polish cuisine is hearty and filling It often includes a meat dish heavy sauces and pickled vegetables If you re at a more modern Polish restaurant then you ll likely find a more diverse selection of foods but the general trend will remain the same In larger cities you ll find a greater diversity of options and vegetarians will have little trouble finding something to their liking on a menu In smaller towns the selection is usually a little less but vegetarian dishes are still available For more information read on or check out this guide that covers what to eat in Poland Pierogi This is probably the most recognizable Polish dish and also the most popular all over Eastern Europe Pierogis recipe are small semicircular dumplings that are usually stuffed with a cheese or meat mixture They are first boiled and then fried in a butter and onion mixture They are often served with sour cream and are an affordable food option for travelers who are hoping to keep costs down Bigos Also known as Hunter s Stew Bigos is considered to be the national dish of Poland It s a traditional stew dish that is made with meats and vegetables which are combined with a pickled cabbage base Every family has its own recipe for Bigos so the dish can be as diverse as the country itself is Gulasz This traditional goulash dish can be prepared as an affordable and hearty meal It s made with large pieces of meat that are prepared in a rich broth that often includes meat stock seasoning vegetables and a splash of beer Polish Goulash is generally less spicy than the more common versions found elsewhere in Eastern Europe 
161,Puerto Rico,USD,173,115,230,28,12,39,NA,NA,11,518, Puerto Rico On a Budget San Juan Puerto Rico Located in the Caribbean Sea east of the Dominican Republic and west of the US Virgin Islands Puerto Rico is a self governing commonwealth of the United States The island is mostly covered in mountains although it becomes flat along the northern coast The mountains drop dramatically into the water along the west coast Most of the shore is covered with sandy beaches which are beautifull places to relax The climate in Puerto Rico is tropical marine with very little seasonal fluctuation Temperatures are mild and can range from 70 to 90 degrees fahrenheit Along the northern coast or in the highlands rainfall is common The southern coast remains much drier Puerto Rico may be affected by hurricanes between the months of June through November Puerto Rico is the smallest and most eastern island of the Greater Antilles There is the principal island as well as Vieques Culebra Culebrita Palomino Mona and Monito among others Culebra is mostly covered by a nature preserve and can be reached daily by a ferry from Fajardo Vieques is gaining popularity as a tourist area but for now it still remains quite rural It s about 22 miles long and 4 miles wide At A GlancePublic transportation in Puerto Rico is unreliable and often times nonexistent outside of the major metro areas The easiest and most convenient way to get around is to rent a car but if you re hoping to save some money shared taxis may be an option This system is called publico and operates Monday thru Friday If you decide to rent your own car they are available at the airport or from many of the major hotels Spanish is the most common language in Puerto Rico although both Spanish and English are technically the official languages of the island English is spoken fluently by about 20 of the population as well as most people working in the tourims industry It is generally respectful and beneficial to try and learn a few key Spanish phrases before your trip Local crafts and souvenirs can be purchased in Old San Juan There are also town festivals that are hosted throughout the island These festivals are frequented by local artists and they are a great way to pick up some unique items Ask for recommendations to find out which festivals are the best Other popular items to purchare are rum and cigars which can still be found in San Juan Old San Juan and Puerta de Tierra Golf is a popular activity on the island There are more than 15 champianship golf courses that are within easy access of San Juan The Trump International Golf Club offers Puerto Rico s first course of legendary proportions It was designed by Tom Kite and has two championship courses Many visitors enjoy going to a plantation in Puerto Rico Historically these plantations produced coffee sugar cane or tobacco which were the three main agricultural products of the island Sugar cane is generally found in the hot lowlands near the sea while tobacco and coffee are in the mountainous interior Related Looking for a party hostel in Costa Rica or Cancun Looking for a budget hostel in Mexico or Costa Rica Top Tourist Attractions Old San Juan This Spanish colonial district of San Juan is found on a small island on the north coast It remains a major tourist destination as it offers many sights and attractions including forts fountains and plazas that date to the 17th or 18th century Bioluminescent Bays The bioluminescent bays are found near Fajardo as well as in Vieques These are a must see for any trip to Puerto Rico The bays light up from a microscopic organism that lives in the water and glows as it moves You can explore the bays with a kayak or boat tour but try and visit during a new moon for the best effect A full moon makes the lights particularly difficult to see and sunlight makes it impossible The most popular biolumicescent bay is in Lajas and it offers visitors information kiosks restaurants and tours El Yunque Puerto Rico s rainforest is along a mountain and is easy to reach Be on the lookout for the endangered Puerto Rican parrot and listen for the song of the local Coqui tree frog The rainforst has many different hiking trails and there s a beautiful lookout point by the Yokahu tower Also check out La Mina waterfalls where you can swim in the pool at the bottom Hikes range from short to long so check out a map to decide what you want to do and where you want to go Popular Foods Traditional Puerto Rican food makes use of two major ingredients plantains and pork Meals usually include some form of rice and beans in addition to meat Dishes are generally mild and not spicy but still very flavorful Arroz con gandules This is the unofficial national dish of Puerto Rico It brings together many of the island s flavors and is made with rice and pigeon peas that are well seasoned Mofongo con camarones Mofongo is plantains that are mashed fried and then mashed again It is stuffed with shrimp or some other type of seafood and well seasoned This is perhaps the most famous Puerto Rican dish available Tostones These twice deep fried plantain chips are commonly available with restaurant meals They are best when they are freshly made 
162,Portugal,EUR,100,45,89,30,19,13,833,309,11,126, Portugal On a Budget Setubal Portugal Portugal is on the Iberian Peninsula which it shares with Spain It s a diverse country that has its own unique culture and a variety of beautiful natural landscapes In particular Portugal has the cliff beaches of Algarve beautiful rural countryside energetic cities a traditional culture beautiful lush green vineyards and so much more This beautiful country has managed to maintain its own unique rich culture while other nearby countries in Europe merge and modernize It has rural areas that still feel a world away from the nearby cosmopolitan cities There are parts of the country that still feel like you ve stepped back in time Even in the cosmopolitan city of Lisbon you can get lost of the back alleyways and catch a glimpse of a city that once was Portugal was once on of the most economically poor countries in Western Europe but when the dictatorship ended in 1974 and it later joined the European Union its wealth and modern amenities grew and began to thrive Over the last few decades it has grown in popularity amongst tourist International tourists frequently visit this fascinating city but European tourists flock here particularly during the cold winter months when they head south to escape the frigid temperatures Beach towns are now filled with expats who ve bought second homes in the area With the crowds has come a significant rise in costs throughout the country It is no longer the budget destination it once was but it is still cheaper than most of Western Europe if you plan ahead and travel to the right places To keep your expenses to a minimum during your trip to Portugal try to avoid the more popular beach towns Cities like Lisbon also tend to be more expensive than smaller towns and rural areas Book your hotels and train tickets in advance and travel during the off season when the crowds are less and the prices are lower One interesting tip is that most museums are free to the public on Sundays so try to schedule any museums visits on this day Also be sure and eat at restaurants that are at least a few blocks from popular tourist attractions as these restaurants will be less likely to target out of town visitors Ask residents where they recommend you go for a good Portuguese meal and you likely won t be disappointed Also be sure and enjoy dessert at any of the bakeries you ll find around town Top Tourist Attractions Costa Vincentina National Park This national park is a stunning cliff that dramatically drops into the water It s a beautiful place to watch the sunset and a nice place to see the ocean Fado Bars in Alfama This neighborhood is a wonderfully historic area worth exploring in Lisbon It goes down the hill between the Castle of Lisbon and Tejo River Azores This area offers a dramatic landscape that is filled with charming villages beautiful valleys and colorful flowers Popular Foods Caldo Verde Caldo verde is a soup dish made from potatoes kale and chourico sausage It s often served during celebrations such as weddings but it s also sometimes offered as a main dish for dinner Bacalhau This is a common Portuguese ingredient that is made from dried and salted codfish It is common in many different popular dishes in Portugal and is most often used in Christmas dishes Pastel de Nata This is a pastry like tart made from eggs It s similar to small pies that are filled with custard It s available in bakeries throughout the country and has even spread to Macau and Hong Kong where it is a popular dessert with dim sum 
163,Palau,USD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, Palau On a Budget 
164,Paraguay,PYG,288815,77494,154989,34988,50875,133568,NA,4275,4500,4944, Paraguay On a Budget Asuncion Paraguay In the heart of the small landlocked country of Paraguay is a relatively untouched culture The Spanish and Amerindian mix known as mestizo still makes up more than 80 of Paraguay s population This remote region of South America has seen its share of ups and downs throughout its long history Wars splits and immigration surges have formed a country with a distinct identity offering an authentic South American experience At a GlanceParaguay is divided into several regions The Gran Chaco consists of most of the northwester area od the country It s full of large wild plains The Parana Plateau is on the opposite end of Paraguay covering the southeast area Covered in forested highlands this region runs along the Parana River and is home to the second largest city Ciudad del Este Northern Paranena is located between these two regions with Southern Paranena just beneath it Southern Paranena is where you ll find the bulk of the country s population When it comes to traveling throughout the country taxis are your most efficient and reliable option Outside of Asuncion there are no meters so be sure to negotiate the price before your trip begins As you communicate with locals you ll find that Spanish is widely spoken and very few people will know English Outside of the larger cities you ll mostly hear the indigenous language of Guarani Often locals will mix the two to form a language known as Jopara Related Looking for a party hostel in Rio Sao Paulo Lima or Buenos Aires Traveling alone through Argentina Top Tourist Attractions At the heart of Paraguay is the simple and classic Asuncion The original architecture mixed with modern shops and restaurants provide a nice introduction to the country as a whole While they claim to be home to 2 5 million people you ll swear it s more Locals flock to this city and after a few days there you ll begin to wonder if you shouldn t stick around too The most beautiful city you ll visit in Paraguay is Encarnacion also known as the Capital de Carnaval This is the place to see and be seen during the summer It s amazing riverside promenade will provide the perfect backdrop for every evening stroll Just 28 kilometers northeast of Encarnacion is the hilltop region of Trinidad This is Paraguay s best reserved Jesuit settlement Have a guide show you around during the day and then spend the evening watching the spectacular light show projecting the history of the site onto the walls of the ancient settlement If you re up for a challenge try to get to the San Cosme y Damian the spot where the settlement kept its astronomical observatory If you re more interested in spotting wildlife head to the Gran Chaco This massive land region is split into the flooded palm savannas of Humid Chcao and the forests of Dry Chaco Here you can keep your eyes out for birds of prey and flocks of waterbirds No need to strain these are easily seen along every roadside Even though this region makes up 60 of the entire country less than 3 of the country s population lives here It was once a refuge for hunter gatherers but today most of the settlements you ll find belong to the Mennonite communities One of the more fascinating man made attractions in Paraguay is the Itaipu Dam The second largest dam in the world the Itaipu Dam generates nearly 80 of all of Paraguay s electricity Free tours leave from the visitor s center near the town of Hernandarias just north of Ciudad del Este If you re more interested in the ornate than the practical take a trip to the 19th century Franciscan church at Yaguaron This architectural landmark is a shining example of Paraguayan colonial architecture With its wooden bell tower and carved interiors it is easily one of most breathtaking churches in all of South America Popular Foods The food in Paraguay is a large amount of dishes collected from standard South American culture with a bit of Brazilian influence You ll want to seek out the stuffed empanadas and milanesa These are considered fast food but well worth a taste when you re trying to catch the bus to Asuncion If you re dying for some real traditional Paraguayan food the chip a bread is made of mandioca flour and baked in an outdoor oven or tatcua This flour is a substitute for potatoes Tortillas are also different on Paraguay Here they are more like fried dough made with Paraguayan cheese 
165,Qatar,QAR,213,188,376,17,NA,NA,NA,NA,NA,100, Qatar On a Budget Doha Qatar Qatar is a small Arab country it s geography a peninsula jutting into the Persian Gulf just east of Saudi Arabia An independent state with significant oil and natural gas revenues Qatar s cities are thriving with a number of museums a bustling market scene and many good restaurants to indulge in There is also a manmade island with a few waterside resorts for vacationers At a GlanceDoha is the capital city of Qatar modern and rapidly developing with much construction underway It is home to Doha International Airport the main point of entry for Qatar as well as many of the country s best museums and examples of cultural heritage Doha Heritage Village for example is based on a traditional Qatari village with opportunities to see weaving pearl trading and a traditional boat dhow plus the occasional festival and other activities The city is also home to Souq Waqif a renovated Arabic market quarter with a maze of corridors to explore Its shops are divided into sections with shop categories for things like spices textiles souvenirs and even live falcons And then on the higher end of things the Pearl Qatar neighborhood of Doha is the country s manmade island full of luxury resorts homes cruise boats and designer shopping Al Khor is another of Qatar s cities about 50 kilometers north of Doha Previously the center of the pearl trading industry Al Khor is now a pleasant and quiet town with some beaches for relaxing and a handful of interesting watchtowers Other populated areas include Rayyan Qatar s second largest city and Wakra a southern municipality Most city activities consist of shopping and exploring markets and malls dining sight seeing museum going and enjoying Qatar s nightlife Being surrounded by the sea Qatar has become a popular destination for watersports and beach going Kite surfing is increasingly popular for western visitors while locals can often be seen driving jet skis from beach to beach Sailing cruising diving scuba and beach sports like volleyball and cricket are also very common Further inland at Khor Al Udeid visitors and locals alike enjoy racing up and down the region of endless sand dunes Up and down the rolling dunes people frequently drive landcruisers and sign up for safari tours in Qatar s wilderness Related Looking for a hostel in Delhi or Goa Heading to Kathmandu or want a party in Tel Aviv Top Tourist Attractions The sights of Qatar range from the busy attractions of the city architecture museums markets and culture to the quieter landscape of its beaches and dunes Some of the more popular attractions include Museum of Islamic Art Located in Doha the museum represents the full scope of Islamic art from three continents over 1 400 years With architecture inspired by classic Islamic elements the museum has become an iconic feature of the Doha skyline It is host to regular special exhibitions events lectures and activities Souq Waqif Also located in Doha Souq Waqif is a traditional old marketplace of Qatar selling unique goods like spices textiles and even live falcons A great place to pick up souvenirs bargaining is recommended The Pearl Qatar A manmade island connected to the city of Doha by a bridge this area is where most of the upscale resorts are located The harbor is full of cruise boats and surrounded by a luxury neighborhood of fine dining and designer stores Villaggio Mall Located in Doha this is one of Qatar s newest malls designed to look like Venice in architecture and even canal ways It is home to a variety of stores casual western and luxury plus a food court restaurants gondola rides and an ice skating rink Katara Cultural Village Located in West Bay Area this large cultural city features a roman style public auditorium museums galleries libraries many international and Arab restaurants a beautiful beach and is host to many cultural events Popular Foods For being such a small country the culture and cuisine is surprisingly diverse especially in the capital city of Doha Qatari cuisine is made up of traditional Arab and Levantine cooking and is also largely influenced by Iranian and Indian food While Middle Eastern fare is also common other options available include Indian Thai Chinese Italian and Korean There are some good dining options just outside Souq Waqif and inside Villaggio Mall and if you want to try authentic Middle Eastern fare there are some good cheap options in Turkey Central on Al Mirghab Street Traditional dishes include Machbus the national dish of Qatar it is a meal consisting of rice meat and vegetables onions and tomatoes Kabsa similar to Machbus the dish consists of rice meat and vegetables mixed with spices It is also similar to biryani or pilaf Balaleet Noodles cooked with sugar cinnamon saffron and cardamom often with an omelet on top Ghuzi Whole roast lamb served over nutty rice Also called Shuwaa Om ali Bread and rice pudding Sago Sweet gelatin pudding spiced with saffron and cardamom Mehalabiya Rose water and pistachio pudding For western fare American chains include places like McDonald s KFC Hardee s Arby s Burger King Dairy Queen Pizza Hut TGI Friday s Applebee s Chili s Fuddruckers Bennigan s Ponderosa Steakhouse Red Lobster and Starbucks 
166,Reunion,EUR,NA,31,62,NA,NA,NA,NA,NA,NA,NA, Reunion On a Budget 
