,Class,
39703,[1.0],1
39704,[2.0],2
39705,[2.0],2
39706,[2.0],2
39707,[2.0],2
39708,[3.0],3
39709,[1.0],1
39710,[3.0],3
39711,[2.0],2
39712,[2.0],2
39713,[2.0],2
39714,[3.0],3
39715,[3.0],3
39716,[2.0],2
39717,[1.0],1
39718,[2.0],2
39719,[2.0],2
39720,[2.0],2
39721,[3.0],3
39722,[1.0],1
39723,[1.0],1
39724,[3.0],3
39725,[2.0],2
39726,[2.0],2
39727,[1.0],1
39728,[1.0],1
39729,[1.0],1
39730,[2.0],2
39731,[1.0],1
39732,[1.0],1
39733,[2.0],2
39734,[3.0],3
39735,[2.0],2
39736,[3.0],3
39737,[3.0],3
39738,[2.0],2
39739,[2.0],2
39740,[1.0],1
39741,[3.0],3
39742,[1.0],1
39743,[2.0],2
39744,[1.0],1
39745,[1.0],1
39746,[1.0],1
39747,[3.0],3
39748,[2.0],2
39749,[2.0],2
39750,[3.0],3
39751,[2.0],2
39752,[2.0],2
39753,[2.0],2
39754,[1.0],1
39755,[2.0],2
39756,[3.0],3
39757,[3.0],3
39758,[2.0],2
39759,[2.0],2
39760,[1.0],1
39761,[3.0],3
39762,[2.0],2
39763,[1.0],1
39764,[1.0],1
39765,[1.0],1
39766,[1.0],1
39767,[1.0],1
39768,[3.0],3
39769,[3.0],3
39770,[2.0],2
39771,[2.0],2
39772,[2.0],2
39773,[1.0],1
39774,[3.0],3
39775,[1.0],1
39776,[2.0],2
39777,[2.0],2
39778,[3.0],3
39779,[1.0],1
39780,[2.0],2
39781,[2.0],2
39782,[2.0],2
39783,[1.0],1
39784,[3.0],3
39785,[1.0],1
39786,[3.0],3
39787,[2.0],2
39788,[2.0],2
39789,[1.0],1
39790,[2.0],2
39791,[1.0],1
39792,[1.0],1
39793,[3.0],3
39794,[2.0],2
39795,[3.0],3
39796,[1.0],1
39797,[3.0],3
39798,[1.0],1
39799,[2.0],2
39800,[3.0],3
39801,[2.0],2
39802,[1.0],1
39803,[2.0],2
39804,[1.0],1
39805,[1.0],1
39806,[3.0],3
39807,[1.0],1
39808,[2.0],2
39809,[1.0],1
39810,[2.0],2
39811,[3.0],3
39812,[3.0],3
39813,[1.0],1
39814,[2.0],2
39815,[3.0],3
39816,[3.0],3
39817,[3.0],3
39818,[2.0],2
39819,[2.0],2
39820,[3.0],3
39821,[2.0],2
39822,[3.0],3
39823,[3.0],3
39824,[2.0],2
39825,[2.0],2
39826,[2.0],2
39827,[3.0],3
39828,[2.0],2
39829,[1.0],1
39830,[2.0],2
39831,[3.0],3
39832,[2.0],2
39833,[1.0],1
39834,[2.0],2
39835,[2.0],2
39836,[2.0],2
39837,[1.0],1
39838,[1.0],1
39839,[3.0],3
39840,[1.0],1
39841,[2.0],2
39842,[2.0],2
39843,[1.0],1
39844,[2.0],2
39845,[3.0],3
39846,[3.0],3
39847,[3.0],3
39848,[1.0],1
39849,[3.0],3
39850,[3.0],3
39851,[2.0],2
39852,[1.0],1
39853,[1.0],1
39854,[1.0],1
39855,[3.0],3
39856,[1.0],1
39857,[2.0],2
39858,[2.0],2
39859,[2.0],2
39860,[2.0],2
39861,[2.0],2
39862,[2.0],2
39863,[1.0],1
39864,[3.0],3
39865,[2.0],2
39866,[3.0],3
39867,[1.0],1
39868,[2.0],2
39869,[2.0],2
39870,[2.0],2
39871,[1.0],1
39872,[2.0],2
39873,[3.0],3
39874,[2.0],2
39875,[1.0],1
39876,[3.0],3
39877,[3.0],3
39878,[3.0],3
39879,[3.0],3
39880,[1.0],1
39881,[2.0],2
39882,[3.0],3
39883,[2.0],2
39884,[3.0],3
39885,[2.0],2
39886,[2.0],2
39887,[1.0],1
39888,[1.0],1
39889,[2.0],2
39890,[2.0],2
39891,[1.0],1
39892,[3.0],3
39893,[1.0],1
39894,[3.0],3
39895,[3.0],3
39896,[2.0],2
39897,[2.0],2
39898,[1.0],1
39899,[3.0],3
39900,[1.0],1
39901,[2.0],2
39902,[2.0],2
39903,[2.0],2
39904,[3.0],3
39905,[3.0],3
39906,[2.0],2
39907,[3.0],3
39908,[3.0],3
39909,[3.0],3
39910,[1.0],1
39911,[1.0],1
39912,[3.0],3
39913,[2.0],2
39914,[1.0],1
39915,[1.0],1
39916,[3.0],3
39917,[2.0],2
39918,[2.0],2
39919,[3.0],3
39920,[2.0],2
39921,[2.0],2
39922,[2.0],2
39923,[1.0],1
39924,[1.0],1
39925,[1.0],1
39926,[2.0],2
39927,[3.0],3
39928,[1.0],1
39929,[3.0],3
39930,[1.0],1
39931,[3.0],3
39932,[1.0],1
39933,[1.0],1
39934,[2.0],2
39935,[2.0],2
39936,[2.0],2
39937,[1.0],1
39938,[1.0],1
39939,[1.0],1
39940,[2.0],2
39941,[3.0],3
39942,[3.0],3
39943,[2.0],2
39944,[1.0],1
39945,[3.0],3
39946,[2.0],2
39947,[3.0],3
39948,[3.0],3
39949,[3.0],3
39950,[2.0],2
39951,[1.0],1
39952,[1.0],1
39953,[3.0],3
39954,[3.0],3
39955,[3.0],3
39956,[2.0],2
39957,[2.0],2
39958,[2.0],2
39959,[2.0],2
39960,[2.0],2
39961,[3.0],3
39962,[1.0],1
39963,[1.0],1
39964,[1.0],1
39965,[3.0],3
39966,[3.0],3
39967,[3.0],3
39968,[1.0],1
39969,[1.0],1
39970,[2.0],2
39971,[2.0],2
39972,[3.0],3
39973,[1.0],1
39974,[1.0],1
39975,[2.0],2
39976,[2.0],2
39977,[3.0],3
39978,[3.0],3
39979,[2.0],2
39980,[2.0],2
39981,[3.0],3
39982,[3.0],3
39983,[1.0],1
39984,[2.0],2
39985,[2.0],2
39986,[1.0],1
39987,[3.0],3
39988,[2.0],2
39989,[1.0],1
39990,[1.0],1
39991,[2.0],2
39992,[1.0],1
39993,[1.0],1
39994,[3.0],3
39995,[3.0],3
39996,[2.0],2
39997,[1.0],1
39998,[1.0],1
39999,[2.0],2
40000,[2.0],2
40001,[3.0],3
40002,[2.0],2
40003,[3.0],3
40004,[1.0],1
40005,[1.0],1
40006,[2.0],2
40007,[2.0],2
40008,[3.0],3
40009,[1.0],1
40010,[1.0],1
40011,[2.0],2
40012,[2.0],2
40013,[3.0],3
40014,[2.0],2
40015,[2.0],2
40016,[1.0],1
40017,[1.0],1
40018,[1.0],1
40019,[2.0],2
40020,[2.0],2
40021,[1.0],1
40022,[3.0],3
40023,[1.0],1
40024,[1.0],1
40025,[2.0],2
40026,[1.0],1
40027,[3.0],3
40028,[2.0],2
40029,[2.0],2
40030,[3.0],3
40031,[2.0],2
40032,[3.0],3
40033,[2.0],2
40034,[3.0],3
40035,[2.0],2
40036,[3.0],3
40037,[2.0],2
40038,[2.0],2
40039,[2.0],2
40040,[2.0],2
40041,[2.0],2
40042,[3.0],3
40043,[3.0],3
40044,[1.0],1
40045,[1.0],1
40046,[3.0],3
40047,[3.0],3
40048,[3.0],3
40049,[3.0],3
40050,[1.0],1
40051,[3.0],3
40052,[2.0],2
40053,[1.0],1
40054,[1.0],1
40055,[1.0],1
40056,[2.0],2
40057,[3.0],3
40058,[1.0],1
40059,[1.0],1
40060,[1.0],1
40061,[2.0],2
40062,[3.0],3
40063,[1.0],1
40064,[2.0],2
40065,[2.0],2
40066,[2.0],2
40067,[2.0],2
40068,[1.0],1
40069,[1.0],1
40070,[1.0],1
40071,[2.0],2
40072,[2.0],2
40073,[3.0],3
40074,[2.0],2
40075,[3.0],3
40076,[2.0],2
40077,[2.0],2
40078,[2.0],2
40079,[3.0],3
40080,[3.0],3
40081,[2.0],2
40082,[3.0],3
40083,[2.0],2
40084,[3.0],3
40085,[2.0],2
40086,[2.0],2
40087,[3.0],3
40088,[2.0],2
40089,[2.0],2
40090,[2.0],2
40091,[1.0],1
40092,[3.0],3
40093,[2.0],2
40094,[2.0],2
40095,[1.0],1
40096,[2.0],2
40097,[3.0],3
40098,[3.0],3
40099,[3.0],3
40100,[2.0],2
40101,[2.0],2
40102,[1.0],1
40103,[1.0],1
40104,[1.0],1
40105,[1.0],1
40106,[2.0],2
40107,[1.0],1
40108,[1.0],1
40109,[1.0],1
40110,[1.0],1
40111,[2.0],2
40112,[2.0],2
40113,[3.0],3
40114,[3.0],3
40115,[3.0],3
40116,[3.0],3
40117,[2.0],2
40118,[2.0],2
40119,[3.0],3
40120,[2.0],2
40121,[2.0],2
40122,[1.0],1
40123,[2.0],2
40124,[1.0],1
40125,[3.0],3
40126,[1.0],1
40127,[2.0],2
40128,[2.0],2
40129,[1.0],1
40130,[3.0],3
40131,[1.0],1
40132,[2.0],2
40133,[1.0],1
40134,[2.0],2
40135,[3.0],3
40136,[1.0],1
40137,[2.0],2
40138,[2.0],2
40139,[2.0],2
40140,[1.0],1
40141,[1.0],1
40142,[3.0],3
40143,[2.0],2
40144,[1.0],1
40145,[3.0],3
40146,[2.0],2
40147,[2.0],2
40148,[2.0],2
40149,[3.0],3
40150,[3.0],3
40151,[1.0],1
40152,[1.0],1
40153,[2.0],2
40154,[1.0],1
40155,[3.0],3
40156,[1.0],1
40157,[1.0],1
40158,[2.0],2
40159,[2.0],2
40160,[3.0],3
40161,[2.0],2
40162,[1.0],1
40163,[2.0],2
40164,[3.0],3
40165,[3.0],3
40166,[2.0],2
40167,[1.0],1
40168,[3.0],3
40169,[2.0],2
40170,[2.0],2
40171,[3.0],3
40172,[1.0],1
40173,[1.0],1
40174,[3.0],3
40175,[1.0],1
40176,[1.0],1
40177,[2.0],2
40178,[2.0],2
40179,[1.0],1
40180,[1.0],1
40181,[1.0],1
40182,[2.0],2
40183,[2.0],2
40184,[3.0],3
40185,[3.0],3
40186,[1.0],1
40187,[1.0],1
40188,[3.0],3
40189,[3.0],3
40190,[1.0],1
40191,[3.0],3
40192,[1.0],1
40193,[2.0],2
40194,[3.0],3
40195,[1.0],1
40196,[1.0],1
40197,[1.0],1
40198,[1.0],1
40199,[2.0],2
40200,[3.0],3
40201,[1.0],1
40202,[3.0],3
40203,[2.0],2
40204,[3.0],3
40205,[2.0],2
40206,[2.0],2
40207,[2.0],2
40208,[1.0],1
40209,[2.0],2
40210,[3.0],3
40211,[2.0],2
40212,[3.0],3
40213,[3.0],3
40214,[3.0],3
40215,[2.0],2
40216,[3.0],3
40217,[3.0],3
40218,[2.0],2
40219,[1.0],1
40220,[2.0],2
40221,[2.0],2
40222,[2.0],2
40223,[2.0],2
40224,[3.0],3
40225,[2.0],2
40226,[1.0],1
40227,[3.0],3
40228,[2.0],2
40229,[3.0],3
40230,[1.0],1
40231,[2.0],2
40232,[1.0],1
40233,[1.0],1
40234,[2.0],2
40235,[2.0],2
40236,[1.0],1
40237,[1.0],1
40238,[3.0],3
40239,[1.0],1
40240,[3.0],3
40241,[1.0],1
40242,[1.0],1
40243,[3.0],3
40244,[2.0],2
40245,[2.0],2
40246,[1.0],1
40247,[3.0],3
40248,[2.0],2
40249,[2.0],2
40250,[3.0],3
40251,[1.0],1
40252,[1.0],1
40253,[3.0],3
40254,[1.0],1
40255,[2.0],2
40256,[2.0],2
40257,[3.0],3
40258,[3.0],3
40259,[1.0],1
40260,[1.0],1
40261,[1.0],1
40262,[1.0],1
40263,[3.0],3
40264,[3.0],3
40265,[1.0],1
40266,[2.0],2
40267,[3.0],3
40268,[1.0],1
40269,[3.0],3
40270,[2.0],2
40271,[2.0],2
40272,[1.0],1
40273,[2.0],2
40274,[2.0],2
40275,[1.0],1
40276,[2.0],2
40277,[3.0],3
40278,[1.0],1
40279,[3.0],3
40280,[3.0],3
40281,[3.0],3
40282,[1.0],1
40283,[1.0],1
40284,[1.0],1
40285,[3.0],3
40286,[1.0],1
40287,[1.0],1
40288,[3.0],3
40289,[3.0],3
40290,[2.0],2
40291,[3.0],3
40292,[3.0],3
40293,[2.0],2
40294,[1.0],1
40295,[3.0],3
40296,[3.0],3
40297,[1.0],1
40298,[1.0],1
40299,[2.0],2
40300,[1.0],1
40301,[3.0],3
40302,[3.0],3
40303,[2.0],2
40304,[2.0],2
40305,[3.0],3
40306,[1.0],1
40307,[1.0],1
40308,[1.0],1
40309,[2.0],2
40310,[1.0],1
40311,[1.0],1
40312,[3.0],3
40313,[3.0],3
40314,[3.0],3
40315,[2.0],2
40316,[1.0],1
40317,[1.0],1
40318,[2.0],2
40319,[1.0],1
40320,[3.0],3
40321,[2.0],2
40322,[1.0],1
40323,[1.0],1
40324,[2.0],2
40325,[2.0],2
40326,[1.0],1
40327,[3.0],3
40328,[1.0],1
40329,[2.0],2
40330,[2.0],2
40331,[3.0],3
40332,[2.0],2
40333,[1.0],1
40334,[3.0],3
40335,[3.0],3
40336,[3.0],3
40337,[2.0],2
40338,[3.0],3
40339,[3.0],3
40340,[3.0],3
40341,[3.0],3
40342,[3.0],3
40343,[2.0],2
40344,[3.0],3
40345,[1.0],1
40346,[2.0],2
40347,[2.0],2
40348,[2.0],2
40349,[3.0],3
40350,[3.0],3
40351,[3.0],3
40352,[2.0],2
40353,[3.0],3
40354,[2.0],2
40355,[2.0],2
40356,[1.0],1
40357,[2.0],2
40358,[3.0],3
40359,[1.0],1
40360,[3.0],3
40361,[3.0],3
40362,[2.0],2
40363,[1.0],1
40364,[1.0],1
40365,[3.0],3
40366,[3.0],3
40367,[1.0],1
40368,[2.0],2
40369,[1.0],1
40370,[2.0],2
40371,[2.0],2
40372,[3.0],3
40373,[1.0],1
40374,[3.0],3
40375,[2.0],2
40376,[2.0],2
40377,[2.0],2
40378,[2.0],2
40379,[1.0],1
40380,[2.0],2
40381,[3.0],3
40382,[1.0],1
40383,[2.0],2
40384,[2.0],2
40385,[2.0],2
40386,[2.0],2
40387,[1.0],1
40388,[1.0],1
40389,[3.0],3
40390,[3.0],3
40391,[2.0],2
40392,[1.0],1
40393,[3.0],3
40394,[2.0],2
40395,[2.0],2
40396,[2.0],2
40397,[2.0],2
40398,[1.0],1
40399,[2.0],2
40400,[3.0],3
40401,[1.0],1
40402,[1.0],1
40403,[2.0],2
40404,[1.0],1
40405,[2.0],2
40406,[2.0],2
40407,[3.0],3
40408,[3.0],3
40409,[3.0],3
40410,[1.0],1
40411,[2.0],2
40412,[2.0],2
40413,[3.0],3
40414,[1.0],1
40415,[2.0],2
40416,[3.0],3
40417,[3.0],3
40418,[3.0],3
40419,[1.0],1
40420,[3.0],3
40421,[1.0],1
40422,[3.0],3
40423,[3.0],3
40424,[3.0],3
40425,[1.0],1
40426,[1.0],1
40427,[3.0],3
40428,[3.0],3
40429,[1.0],1
40430,[1.0],1
40431,[2.0],2
40432,[1.0],1
40433,[2.0],2
40434,[3.0],3
40435,[2.0],2
40436,[1.0],1
40437,[2.0],2
40438,[3.0],3
40439,[2.0],2
40440,[2.0],2
40441,[3.0],3
40442,[1.0],1
40443,[3.0],3
40444,[2.0],2
40445,[2.0],2
40446,[1.0],1
40447,[1.0],1
40448,[2.0],2
40449,[1.0],1
40450,[1.0],1
40451,[1.0],1
40452,[1.0],1
40453,[1.0],1
40454,[3.0],3
40455,[3.0],3
40456,[3.0],3
40457,[1.0],1
40458,[2.0],2
40459,[1.0],1
40460,[3.0],3
40461,[3.0],3
40462,[2.0],2
40463,[3.0],3
40464,[2.0],2
40465,[1.0],1
40466,[1.0],1
40467,[1.0],1
40468,[2.0],2
40469,[3.0],3
40470,[3.0],3
40471,[3.0],3
40472,[1.0],1
40473,[2.0],2
40474,[2.0],2
40475,[1.0],1
40476,[2.0],2
40477,[3.0],3
40478,[2.0],2
40479,[1.0],1
40480,[1.0],1
40481,[2.0],2
40482,[3.0],3
40483,[3.0],3
40484,[3.0],3
40485,[3.0],3
40486,[2.0],2
40487,[3.0],3
40488,[1.0],1
40489,[3.0],3
40490,[3.0],3
40491,[3.0],3
40492,[1.0],1
40493,[1.0],1
40494,[3.0],3
40495,[3.0],3
40496,[1.0],1
40497,[3.0],3
40498,[3.0],3
40499,[3.0],3
40500,[1.0],1
40501,[1.0],1
40502,[3.0],3
40503,[3.0],3
40504,[1.0],1
40505,[1.0],1
40506,[1.0],1
40507,[1.0],1
40508,[1.0],1
40509,[1.0],1
40510,[3.0],3
40511,[1.0],1
40512,[2.0],2
40513,[1.0],1
40514,[3.0],3
40515,[3.0],3
40516,[3.0],3
40517,[1.0],1
40518,[2.0],2
40519,[2.0],2
40520,[2.0],2
40521,[2.0],2
40522,[2.0],2
40523,[1.0],1
40524,[1.0],1
40525,[2.0],2
40526,[3.0],3
40527,[1.0],1
40528,[3.0],3
40529,[1.0],1
40530,[3.0],3
40531,[3.0],3
40532,[2.0],2
40533,[3.0],3
40534,[3.0],3
40535,[1.0],1
40536,[2.0],2
40537,[1.0],1
40538,[3.0],3
40539,[1.0],1
40540,[3.0],3
40541,[3.0],3
40542,[2.0],2
40543,[1.0],1
40544,[2.0],2
40545,[2.0],2
40546,[3.0],3
40547,[1.0],1
40548,[1.0],1
40549,[1.0],1
40550,[1.0],1
40551,[2.0],2
40552,[1.0],1
40553,[3.0],3
40554,[3.0],3
40555,[3.0],3
40556,[3.0],3
40557,[2.0],2
40558,[3.0],3
40559,[2.0],2
40560,[2.0],2
40561,[1.0],1
40562,[2.0],2
40563,[1.0],1
40564,[1.0],1
40565,[2.0],2
40566,[3.0],3
40567,[2.0],2
40568,[1.0],1
40569,[1.0],1
40570,[3.0],3
40571,[1.0],1
40572,[3.0],3
40573,[3.0],3
40574,[1.0],1
40575,[2.0],2
40576,[3.0],3
40577,[1.0],1
40578,[2.0],2
40579,[2.0],2
40580,[1.0],1
40581,[1.0],1
40582,[1.0],1
40583,[2.0],2
40584,[2.0],2
40585,[1.0],1
40586,[1.0],1
40587,[2.0],2
40588,[2.0],2
40589,[2.0],2
40590,[2.0],2
40591,[2.0],2
40592,[1.0],1
40593,[2.0],2
40594,[1.0],1
40595,[3.0],3
40596,[1.0],1
40597,[3.0],3
40598,[3.0],3
40599,[1.0],1
40600,[3.0],3
40601,[1.0],1
40602,[1.0],1
40603,[2.0],2
40604,[2.0],2
40605,[3.0],3
40606,[3.0],3
40607,[3.0],3
40608,[3.0],3
40609,[1.0],1
40610,[1.0],1
40611,[1.0],1
40612,[3.0],3
40613,[3.0],3
40614,[2.0],2
40615,[3.0],3
40616,[1.0],1
40617,[2.0],2
40618,[1.0],1
40619,[3.0],3
40620,[3.0],3
40621,[2.0],2
40622,[1.0],1
40623,[1.0],1
40624,[1.0],1
40625,[2.0],2
40626,[2.0],2
40627,[1.0],1
40628,[3.0],3
40629,[2.0],2
40630,[3.0],3
40631,[2.0],2
40632,[1.0],1
40633,[1.0],1
40634,[2.0],2
40635,[3.0],3
40636,[2.0],2
40637,[1.0],1
40638,[3.0],3
40639,[3.0],3
40640,[3.0],3
40641,[2.0],2
40642,[2.0],2
40643,[1.0],1
40644,[2.0],2
40645,[1.0],1
40646,[2.0],2
40647,[2.0],2
40648,[3.0],3
40649,[2.0],2
40650,[1.0],1
40651,[3.0],3
40652,[2.0],2
40653,[3.0],3
40654,[1.0],1
40655,[3.0],3
40656,[1.0],1
40657,[2.0],2
40658,[1.0],1
40659,[3.0],3
40660,[3.0],3
40661,[3.0],3
40662,[2.0],2
40663,[3.0],3
40664,[2.0],2
40665,[2.0],2
40666,[2.0],2
40667,[3.0],3
40668,[3.0],3
40669,[2.0],2
40670,[1.0],1
40671,[3.0],3
40672,[3.0],3
40673,[1.0],1
40674,[3.0],3
40675,[1.0],1
40676,[3.0],3
40677,[3.0],3
40678,[2.0],2
40679,[2.0],2
40680,[3.0],3
40681,[3.0],3
40682,[3.0],3
40683,[3.0],3
40684,[1.0],1
40685,[1.0],1
40686,[3.0],3
40687,[3.0],3
40688,[1.0],1
40689,[2.0],2
40690,[1.0],1
40691,[2.0],2
40692,[2.0],2
40693,[2.0],2
40694,[1.0],1
40695,[3.0],3
40696,[3.0],3
40697,[2.0],2
40698,[1.0],1
40699,[2.0],2
40700,[2.0],2
40701,[1.0],1
40702,[3.0],3
40703,[3.0],3
40704,[1.0],1
40705,[2.0],2
40706,[2.0],2
40707,[3.0],3
40708,[3.0],3
40709,[2.0],2
40710,[3.0],3
40711,[1.0],1
40712,[1.0],1
40713,[1.0],1
40714,[1.0],1
40715,[3.0],3
40716,[3.0],3
40717,[3.0],3
40718,[2.0],2
40719,[1.0],1
40720,[2.0],2
40721,[2.0],2
40722,[2.0],2
40723,[1.0],1
40724,[2.0],2
40725,[3.0],3
40726,[2.0],2
40727,[3.0],3
40728,[1.0],1
40729,[3.0],3
40730,[2.0],2
40731,[1.0],1
40732,[2.0],2
40733,[1.0],1
40734,[1.0],1
40735,[2.0],2
40736,[3.0],3
40737,[3.0],3
40738,[3.0],3
40739,[2.0],2
40740,[2.0],2
40741,[2.0],2
40742,[2.0],2
40743,[1.0],1
40744,[1.0],1
40745,[2.0],2
40746,[1.0],1
40747,[3.0],3
40748,[3.0],3
40749,[2.0],2
40750,[3.0],3
40751,[3.0],3
40752,[2.0],2
40753,[3.0],3
40754,[1.0],1
40755,[3.0],3
40756,[2.0],2
40757,[3.0],3
40758,[2.0],2
40759,[3.0],3
40760,[1.0],1
40761,[3.0],3
40762,[2.0],2
40763,[3.0],3
40764,[3.0],3
40765,[1.0],1
40766,[3.0],3
40767,[2.0],2
40768,[1.0],1
40769,[3.0],3
40770,[1.0],1
40771,[2.0],2
40772,[2.0],2
40773,[3.0],3
40774,[2.0],2
40775,[3.0],3
40776,[1.0],1
40777,[3.0],3
40778,[2.0],2
40779,[3.0],3
40780,[1.0],1
40781,[2.0],2
40782,[3.0],3
40783,[3.0],3
40784,[1.0],1
40785,[2.0],2
40786,[1.0],1
40787,[3.0],3
40788,[1.0],1
40789,[3.0],3
40790,[2.0],2
40791,[2.0],2
40792,[1.0],1
40793,[3.0],3
40794,[2.0],2
40795,[3.0],3
40796,[1.0],1
40797,[3.0],3
40798,[1.0],1
40799,[1.0],1
40800,[3.0],3
40801,[2.0],2
40802,[1.0],1
40803,[1.0],1
40804,[1.0],1
40805,[3.0],3
40806,[1.0],1
40807,[1.0],1
40808,[1.0],1
40809,[2.0],2
40810,[3.0],3
40811,[1.0],1
40812,[3.0],3
40813,[1.0],1
40814,[3.0],3
40815,[1.0],1
40816,[3.0],3
40817,[1.0],1
40818,[3.0],3
40819,[3.0],3
40820,[1.0],1
40821,[1.0],1
40822,[2.0],2
40823,[3.0],3
40824,[2.0],2
40825,[1.0],1
40826,[2.0],2
40827,[1.0],1
40828,[1.0],1
40829,[1.0],1
40830,[1.0],1
40831,[3.0],3
40832,[1.0],1
40833,[1.0],1
40834,[3.0],3
40835,[2.0],2
40836,[3.0],3
40837,[3.0],3
40838,[1.0],1
40839,[3.0],3
40840,[3.0],3
40841,[1.0],1
40842,[3.0],3
40843,[2.0],2
40844,[3.0],3
40845,[2.0],2
40846,[2.0],2
40847,[1.0],1
40848,[1.0],1
40849,[2.0],2
40850,[3.0],3
40851,[3.0],3
40852,[2.0],2
40853,[2.0],2
40854,[2.0],2
40855,[2.0],2
40856,[3.0],3
40857,[1.0],1
40858,[1.0],1
40859,[1.0],1
40860,[3.0],3
40861,[2.0],2
40862,[1.0],1
40863,[3.0],3
40864,[1.0],1
40865,[1.0],1
40866,[2.0],2
40867,[2.0],2
40868,[3.0],3
40869,[2.0],2
40870,[2.0],2
40871,[2.0],2
40872,[2.0],2
40873,[3.0],3
40874,[3.0],3
40875,[3.0],3
40876,[1.0],1
40877,[3.0],3
40878,[2.0],2
40879,[3.0],3
40880,[1.0],1
40881,[3.0],3
40882,[1.0],1
40883,[2.0],2
40884,[2.0],2
40885,[3.0],3
40886,[1.0],1
40887,[1.0],1
40888,[2.0],2
40889,[2.0],2
40890,[1.0],1
40891,[1.0],1
40892,[1.0],1
40893,[2.0],2
40894,[2.0],2
40895,[1.0],1
40896,[1.0],1
40897,[1.0],1
40898,[2.0],2
40899,[3.0],3
40900,[2.0],2
40901,[2.0],2
40902,[1.0],1
40903,[3.0],3
40904,[3.0],3
40905,[3.0],3
40906,[1.0],1
40907,[1.0],1
40908,[2.0],2
40909,[3.0],3
40910,[3.0],3
40911,[2.0],2
40912,[1.0],1
40913,[1.0],1
40914,[1.0],1
40915,[2.0],2
40916,[1.0],1
40917,[3.0],3
40918,[1.0],1
40919,[3.0],3
40920,[2.0],2
40921,[3.0],3
40922,[1.0],1
40923,[2.0],2
40924,[3.0],3
40925,[3.0],3
40926,[2.0],2
40927,[1.0],1
40928,[3.0],3
40929,[2.0],2
40930,[2.0],2
40931,[1.0],1
40932,[3.0],3
40933,[1.0],1
40934,[3.0],3
40935,[2.0],2
40936,[2.0],2
40937,[2.0],2
40938,[2.0],2
40939,[3.0],3
40940,[1.0],1
40941,[1.0],1
40942,[3.0],3
40943,[2.0],2
40944,[3.0],3
40945,[2.0],2
40946,[2.0],2
40947,[1.0],1
40948,[1.0],1
40949,[2.0],2
40950,[2.0],2
40951,[3.0],3
40952,[1.0],1
40953,[1.0],1
40954,[3.0],3
40955,[3.0],3
40956,[1.0],1
40957,[1.0],1
40958,[1.0],1
40959,[1.0],1
40960,[3.0],3
40961,[2.0],2
40962,[1.0],1
40963,[2.0],2
40964,[3.0],3
40965,[2.0],2
40966,[1.0],1
40967,[3.0],3
40968,[2.0],2
40969,[3.0],3
40970,[1.0],1
40971,[3.0],3
40972,[2.0],2
40973,[2.0],2
40974,[3.0],3
40975,[2.0],2
40976,[1.0],1
40977,[3.0],3
40978,[3.0],3
40979,[1.0],1
40980,[3.0],3
40981,[1.0],1
40982,[3.0],3
40983,[1.0],1
40984,[3.0],3
40985,[2.0],2
40986,[1.0],1
40987,[3.0],3
40988,[2.0],2
40989,[2.0],2
40990,[1.0],1
40991,[3.0],3
40992,[2.0],2
40993,[2.0],2
40994,[1.0],1
40995,[2.0],2
40996,[3.0],3
40997,[2.0],2
40998,[1.0],1
40999,[2.0],2
41000,[2.0],2
41001,[1.0],1
41002,[1.0],1
41003,[1.0],1
41004,[2.0],2
41005,[2.0],2
41006,[3.0],3
41007,[3.0],3
41008,[3.0],3
41009,[2.0],2
41010,[1.0],1
41011,[1.0],1
41012,[3.0],3
41013,[3.0],3
41014,[3.0],3
41015,[3.0],3
41016,[1.0],1
41017,[2.0],2
41018,[1.0],1
41019,[2.0],2
41020,[3.0],3
41021,[1.0],1
41022,[1.0],1
41023,[1.0],1
41024,[1.0],1
41025,[2.0],2
41026,[2.0],2
41027,[2.0],2
41028,[3.0],3
41029,[3.0],3
41030,[2.0],2
41031,[3.0],3
41032,[3.0],3
41033,[2.0],2
41034,[2.0],2
41035,[1.0],1
41036,[2.0],2
41037,[2.0],2
41038,[1.0],1
41039,[3.0],3
41040,[2.0],2
41041,[2.0],2
41042,[1.0],1
41043,[3.0],3
41044,[1.0],1
41045,[2.0],2
41046,[1.0],1
41047,[2.0],2
41048,[1.0],1
41049,[1.0],1
41050,[1.0],1
41051,[2.0],2
41052,[2.0],2
41053,[3.0],3
41054,[3.0],3
41055,[2.0],2
41056,[1.0],1
41057,[1.0],1
41058,[2.0],2
41059,[3.0],3
41060,[3.0],3
41061,[3.0],3
41062,[1.0],1
41063,[1.0],1
41064,[1.0],1
41065,[3.0],3
41066,[2.0],2
41067,[1.0],1
41068,[2.0],2
41069,[2.0],2
41070,[1.0],1
41071,[1.0],1
41072,[2.0],2
41073,[1.0],1
41074,[3.0],3
41075,[2.0],2
41076,[1.0],1
41077,[1.0],1
41078,[2.0],2
41079,[3.0],3
41080,[3.0],3
41081,[2.0],2
41082,[3.0],3
41083,[1.0],1
41084,[2.0],2
41085,[3.0],3
41086,[1.0],1
41087,[1.0],1
41088,[3.0],3
41089,[3.0],3
41090,[3.0],3
41091,[3.0],3
41092,[2.0],2
41093,[3.0],3
41094,[2.0],2
41095,[3.0],3
41096,[2.0],2
41097,[1.0],1
41098,[1.0],1
41099,[2.0],2
41100,[3.0],3
41101,[2.0],2
